start,bot,btc,eth
2020-12-05 00:00:00+00:00,7.251946014515324,1.5797580487641834,6.03156836461126
2020-12-06 00:00:00+00:00,8.459084374220112,1.6055518249532525,6.22743292216644
2020-12-07 00:00:00+00:00,8.309458372966294,1.6393913465401289,6.283182248680828
2020-12-08 00:00:00+00:00,9.82393098296243,1.7543596933220766,6.995296788842036
2020-12-09 00:00:00+00:00,8.668750419991472,1.5643100152740264,6.164040552094785
2020-12-10 00:00:00+00:00,8.392919302948597,1.5823881393378008,5.973183777885114
2020-12-11 00:00:00+00:00,9.599244142719726,1.738331042611855,6.511287034145805
2020-12-12 00:00:00+00:00,9.654894523703687,1.6612113868642635,6.270614745440462
2020-12-13 00:00:00+00:00,7.9264141641452035,1.435607528348124,5.402454714745216
2020-12-14 00:00:00+00:00,8.011912747472527,1.508324019853537,5.5820498388169675
2020-12-15 00:00:00+00:00,8.484575401723673,1.515386512086884,5.82773851590106
2020-12-16 00:00:00+00:00,7.40251127249352,1.2325389772548312,5.211918139301297
2020-12-17 00:00:00+00:00,7.543369432892831,1.0235503018797076,5.029905087910378
2020-12-18 00:00:00+00:00,7.374075703106914,1.0268182603054696,5.056327903953505
2020-12-19 00:00:00+00:00,6.8733258344128165,0.9596169192594457,4.963466711244168
2020-12-20 00:00:00+00:00,7.35346625679993,1.000133017728876,5.181218465009873
2020-12-21 00:00:00+00:00,7.65586647702867,1.1518707765195946,5.606784291780506
2020-12-22 00:00:00+00:00,6.9647814398361865,1.0405942012003804,5.252667138031267
2020-12-23 00:00:00+00:00,9.125876814936158,1.1882380741676841,6.021330008880389
2020-12-24 00:00:00+00:00,7.776395644192608,1.141665121453736,5.608351978572946
2020-12-25 00:00:00+00:00,8.101509932055377,1.0394424353373015,5.532704763728024
2020-12-26 00:00:00+00:00,7.175102584005421,0.9165342751531609,5.374811746987951
2020-12-27 00:00:00+00:00,7.61185893915407,0.929156681883869,4.892820131073842
2020-12-28 00:00:00+00:00,6.128600867629143,0.7557155048799069,4.192631535712819
2020-12-29 00:00:00+00:00,6.330723651302689,0.696719371918934,3.959275956284153
2020-12-30 00:00:00+00:00,6.447592318075614,0.6318610838100345,3.931425076777856
2020-12-31 00:00:00+00:00,6.108424239122189,0.5978952157803152,3.9920290051872573
2021-01-01 00:00:00+00:00,6.271845597642455,0.6269996716861526,4.165987570481953
2021-01-02 00:00:00+00:00,5.70420370030277,0.4695038555450204,3.9425092956000833
2021-01-03 00:00:00+00:00,5.706523590937476,0.40745544324932825,2.849501165310545
2021-01-04 00:00:00+00:00,5.469427419791753,0.4327558066580366,2.6345313655262474
2021-01-05 00:00:00+00:00,4.748420411626006,0.2798742721916916,2.2200425624795375
2021-01-06 00:00:00+00:00,4.733759933628885,0.17169050535554597,1.8192267589083264
2021-01-07 00:00:00+00:00,4.608605940744223,0.0541231701539957,1.6119016711977596
2021-01-08 00:00:00+00:00,4.310829402644004,0.0270294245272813,1.5317397056527486
