time,paid_in,best_net,best_gross,bitcoin
2020-12-05 00:00:00+00:00,1000.0,1000.0,1000.0,6201.127237250113
2020-12-06 00:00:00+00:00,1000.0,978.4730028772719,989.6408054875028,6269.700978439133
2020-12-07 00:00:00+00:00,1000.0,994.8752960084627,1008.2092100375535,6207.358269556134
2020-12-08 00:00:00+00:00,1000.0,884.5491519442737,903.9500138314737,5934.413793610664
2020-12-09 00:00:00+00:00,1000.0,942.5643542285746,961.9652161157746,6004.746084977525
2020-12-10 00:00:00+00:00,1000.0,908.3854816981795,929.4227993394719,5911.912123931751
2020-12-11 00:00:00+00:00,1000.0,854.5685472777461,877.239168029131,5841.278644412882
2020-12-12 00:00:00+00:00,1000.0,891.6111183348011,914.8769698170427,6091.34901371728
2020-12-13 00:00:00+00:00,1000.0,939.1868252439992,966.2295116978637,6209.978282620359
2020-12-14 00:00:00+00:00,1000.0,944.0895808731,971.1322673269644,6241.764967694989
2020-12-15 00:00:00+00:00,1000.0,943.8164063055929,970.9776935436955,6291.409195459534
2020-12-16 00:00:00+00:00,1000.0,1012.7269292253477,1040.6293741940024,6909.683699882624
2020-12-17 00:00:00+00:00,1000.0,977.0248700421876,1005.5523118123793,7383.047840203387
2020-12-18 00:00:00+00:00,1000.0,1018.4610356962867,1048.1183052806869,7483.518378264544
2020-12-19 00:00:00+00:00,1000.0,1061.0615263960651,1091.6854690695034,7714.8244018407295
2020-12-20 00:00:00+00:00,1000.0,1008.9385486983043,1040.7171362791591,7596.263143165524
2020-12-21 00:00:00+00:00,1000.0,1012.1611459177306,1044.6836146953374,7357.965020447603
2020-12-22 00:00:00+00:00,1000.0,1082.9504865962415,1116.75751497355,7711.320255814163
2020-12-23 00:00:00+00:00,1000.0,994.2074713591895,1028.0144997364982,7524.120484304344
2020-12-24 00:00:00+00:00,1000.0,1096.2911818019393,1130.4146910515915,7684.89666299461
2020-12-25 00:00:00+00:00,1000.0,1136.3273384169213,1170.5562802609709,8003.33674280441
2020-12-26 00:00:00+00:00,1000.0,1283.0980236731107,1317.3269655171603,8580.102338149401
2020-12-27 00:00:00+00:00,1000.0,1187.2477159871532,1222.7420950819483,8511.53183554266
2020-12-28 00:00:00+00:00,1000.0,1302.6275779439418,1339.3379323476415,8769.889736900648
2020-12-29 00:00:00+00:00,1000.0,1245.5704088577208,1283.1923287863633,8868.857572784054
2020-12-30 00:00:00+00:00,1000.0,1248.8879620257494,1287.450409300458,9351.581215892968
2020-12-31 00:00:00+00:00,1000.0,1299.521168062019,1339.1227320708736,9367.155558075738
2021-01-01 00:00:00+00:00,1100.0,1429.175681303001,1471.5062532327474,9599.309146578576
2021-01-02 00:00:00+00:00,1100.0,1483.9267297474069,1526.6763008471955,10530.755812502479
