time,paid_in,strategy,bitcoin
2023-05-07,3900.0,18100.0,4153.0
2023-05-14,3900.0,18100.0,3932.0
2023-05-21,3900.0,18100.0,3907.0
2023-05-28,3900.0,18100.0,4099.0
2023-06-04,4000.0,18200.0,4062.0
2023-06-11,4000.0,18200.0,3883.0
2023-06-18,4000.0,18200.0,3946.0
2023-06-25,4000.0,18200.0,4563.0
2023-07-02,4100.0,18300.0,4686.0
2023-07-09,4100.0,18300.0,4616.0
2023-07-16,4100.0,18300.0,4627.0
2023-07-23,4100.0,18300.0,4604.0
2023-07-30,4100.0,18300.0,4482.0
2023-08-06,4200.0,18400.0,4550.0
2023-08-13,4200.0,18400.0,4584.0
2023-08-20,4200.0,18400.0,4097.0
2023-08-27,4200.0,18400.0,4083.0
2023-09-03,4300.0,18500.0,4163.0
2023-09-10,4300.0,18500.0,4142.0
2023-09-17,4300.0,18500.0,4252.0
2023-09-24,4300.0,18500.0,4207.0
2023-10-01,4400.0,18600.0,4587.0
2023-10-08,4400.0,18600.0,4574.0
2023-10-15,4400.0,18600.0,4449.0
2023-10-22,4400.0,18600.0,4914.0
2023-10-29,4400.0,18600.0,5657.0
2023-11-05,4500.0,18700.0,5835.0
2023-11-12,4500.0,18700.0,6178.0
2023-11-19,4500.0,18700.0,6227.0
2023-11-26,4500.0,18700.0,6241.0
2023-12-03,4600.0,18800.0,6765.0
2023-12-10,4600.0,18800.0,7411.0
2023-12-17,4600.0,18800.0,7003.0
2023-12-24,4600.0,18800.0,7276.0
2023-12-31,4600.0,18800.0,7157.0
2024-01-07,4700.0,18900.0,7534.0
2024-01-14,4700.0,18900.0,7158.0
2024-01-21,4700.0,18900.0,7132.0
2024-01-28,4700.0,18900.0,7209.0
2024-02-04,4800.0,19000.0,7402.0
2024-02-11,4800.0,19000.0,8396.0
2024-02-18,4800.0,19000.0,9063.0
2024-02-25,4800.0,19000.0,8992.0
2024-03-03,4900.0,19100.0,11072.0
2024-03-10,4900.0,19100.0,12097.0
2024-03-17,4900.0,19100.0,11998.0
2024-03-24,4900.0,19100.0,11791.0
2024-03-31,4900.0,19100.0,12505.0
2024-04-07,5000.0,19200.0,12267.0
2024-04-14,5000.0,19200.0,11613.0
2024-04-21,5000.0,19200.0,11486.0
2024-04-28,5000.0,19200.0,11163.0
2024-05-05,5100.0,19300.0,11431.0
2024-05-12,5100.0,19300.0,10980.0
2024-05-19,5100.0,19300.0,11835.0
2024-05-26,5100.0,19300.0,12234.0
2024-06-02,5200.0,19400.0,12201.0
2024-06-09,5200.0,19400.0,12540.0
2024-06-16,5200.0,19400.0,12005.0
2024-06-23,5200.0,19400.0,11381.0
2024-06-30,5200.0,19400.0,11302.0
2024-07-07,5300.0,19500.0,10146.0
2024-07-14,5300.0,19500.0,11043.0
2024-07-21,5300.0,19500.0,12381.0
2024-07-28,5300.0,19500.0,12397.0
2024-08-04,5400.0,19600.0,10653.0
2024-08-11,5400.0,19600.0,10754.0
2024-08-18,5400.0,19600.0,10702.0
2024-08-25,5400.0,19600.0,11763.0
2024-09-01,5500.0,19700.0,10596.0
2024-09-08,5500.0,19700.0,10146.0
2024-09-15,5500.0,19700.0,10934.0
2024-09-22,5500.0,19700.0,11756.0
2024-09-29,5500.0,19700.0,12130.0
2024-10-06,5600.0,19800.0,11719.0
2024-10-13,5600.0,19800.0,11728.0
2024-10-20,5600.0,19800.0,12878.0
2024-10-27,5600.0,19800.0,12689.0
2024-11-03,5700.0,19900.0,12929.0
2024-11-10,5700.0,19900.0,15108.0
2024-11-17,5700.0,19900.0,16892.0
2024-11-24,5700.0,19900.0,18404.0
2024-12-01,5800.0,20000.0,18369.0
2024-12-08,5800.0,20000.0,19111.0
2024-12-15,5800.0,20000.0,19745.0
2024-12-22,5800.0,20000.0,17991.0
2024-12-29,5800.0,20000.0,17718.0
2025-01-05,5900.0,20100.0,18696.0
2025-01-12,5900.0,20100.0,17970.0
2025-01-19,5900.0,20100.0,19260.0
2025-01-26,5900.0,20100.0,19505.0
2025-02-02,6000.0,20200.0,18667.0
2025-02-09,6000.0,20200.0,18430.0
2025-02-16,6000.0,20200.0,18364.0
2025-02-23,6000.0,20200.0,18391.0
2025-03-02,6100.0,20300.0,18121.0
2025-03-09,6100.0,20300.0,15519.0
2025-03-16,6100.0,20300.0,15872.0
2025-03-23,6100.0,20300.0,16547.0
2025-03-30,6100.0,20300.0,15837.0
2025-04-06,6200.0,20400.0,15168.0
2025-04-13,6200.0,20400.0,16199.0
2025-04-20,6200.0,20400.0,16473.0
2025-04-27,6200.0,20400.0,18130.0
2025-05-04,6300.0,20500.0,18330.0
2025-05-11,6300.0,20500.0,20243.0
2025-05-18,6300.0,20500.0,20698.0
2025-05-25,6300.0,20500.0,21193.0
2025-06-01,6400.0,20600.0,20640.0
2025-06-08,6400.0,20600.0,20658.0
2025-06-15,6400.0,20600.0,20630.0
2025-06-22,6400.0,20600.0,19726.0
2025-06-29,6400.0,20600.0,21170.0
2025-07-06,6500.0,20700.0,21439.0
2025-07-13,6500.0,20700.0,23379.0
2025-07-20,6500.0,20700.0,23021.0
2025-07-27,6500.0,20700.0,23443.0
2025-08-03,6600.0,20800.0,22522.0
2025-08-10,6600.0,20800.0,23525.0
2025-08-17,6600.0,20800.0,23152.0
2025-08-24,6600.0,20800.0,22381.0
2025-08-31,6600.0,20800.0,21346.0
2025-09-07,6700.0,20900.0,22018.0
2025-09-14,6700.0,20900.0,22836.0
2025-09-21,6700.0,20900.0,22829.0
2025-09-28,6700.0,20900.0,22221.0
2025-10-05,6800.0,21000.0,24567.0
2025-10-12,6800.0,21000.0,22872.0
2025-10-19,6800.0,21000.0,21615.0
2025-10-26,6800.0,21000.0,22792.0
2025-11-02,6900.0,21100.0,22093.0
2025-11-09,6900.0,21100.0,20930.0
2025-11-16,6900.0,21100.0,18839.0
2025-11-23,6900.0,21100.0,17354.0
2025-11-30,6900.0,21100.0,18059.0
2025-12-07,7000.0,21200.0,18171.0
2025-12-14,7000.0,21200.0,17724.0
2025-12-21,7000.0,21200.0,17822.0
2025-12-28,7000.0,21200.0,17680.0
